"約定履歴"
"商品種別","全て"
"注文種別","全て"
"取引区分","全て"
"対象","期間指定","2026-01-05","-","2026-07-29"
"約定番号","約定日時","市場","銘柄","取引","約定価格","約定数量","手数料","消費税","約定金額","取引日","受渡金額","受渡日","新規建日","新規建単価","新規建手数料","新規建消費税","決済損益","SQ日"
"396263410","2026/02/05 02:48","大阪/立会","225ＯＰ26年02月限コール57,000円","決済買","295","1","590","59","295000","2026/02/05","-295649","2026/02/06","2026/01/21","211","422","42","-85113","2026/02/13",""
"396262435","2026/02/05 02:40","大阪/立会","225ＯＰ26年02月限コール57,000円","決済買","290","1","580","58","290000","2026/02/05","-290638","2026/02/06","2026/01/29","350","700","70","58592","2026/02/13",""
"396262298","2026/02/05 02:41","大阪/立会","225ＯＰ26年02月限コール58,000円","新規売","154","2","616","61","308000","2026/02/05","307323","2026/02/06","--","--","--","--","--","2026/02/13",""
"396239240","2026/02/05 08:45","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買","1","8","160","16","8000","2026/02/05","-8176","2026/02/06","--","--","--","--","--","2026/02/13",""
"396239240","2026/02/05 05:02","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買","1","1","20","2","1000","2026/02/05","-1022","2026/02/06","--","--","--","--","--","2026/02/13",""
"396239240","2026/02/05 05:01","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買","1","1","20","2","1000","2026/02/05","-1022","2026/02/06","--","--","--","--","--","2026/02/13",""
"396238242","2026/02/05 00:54","大阪/立会","マイクロ225先物26年02月限","新規買","54800","4","40","4","2192000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396238170","2026/02/05 00:35","大阪/立会","マイクロ225先物26年02月限","新規買","54800","1","10","1","548000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396238170","2026/02/05 00:35","大阪/立会","マイクロ225先物26年02月限","新規買","54800","2","20","2","1096000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396238068","2026/02/05 00:33","大阪/立会","マイクロ225先物26年02月限","新規買","54900","1","10","1","549000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396238068","2026/02/05 00:33","大阪/立会","マイクロ225先物26年02月限","新規買","54900","1","10","1","549000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396237886","2026/02/05 00:30","大阪/立会","マイクロ225先物26年02月限","新規買","55000","1","10","1","550000","2026/02/05","--","2026/02/06","--","--","--","--","--","2026/02/13",""
"396009498","2026/02/03 15:22","大阪/立会","225ＯＰ26年02月限コール69,000円","新規買","1","4","84","8","4000","2026/02/03","-4092","2026/02/04","--","--","--","--","--","2026/02/13",""
"396009498","2026/02/03 15:22","大阪/J-NET","225ＯＰ26年02月限コール69,000円","新規買","0.92","6","116","12","5520","2026/02/03","-5648","2026/02/04","--","--","--","--","--","2026/02/13",""
"395405900","2026/01/29 09:17","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買","1","10","200","20","10000","2026/01/29","-10220","2026/01/30","--","--","--","--","--","2026/02/13",""
"395386942","2026/01/29 09:33","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買","1","10","200","20","10000","2026/01/29","-10220","2026/01/30","--","--","--","--","--","2026/02/13",""
"394974228","2026/01/29 08:47","大阪/立会","225ＯＰ26年02月限コール57,000円","新規売","350","1","700","70","350000","2026/01/29","349230","2026/01/30","--","--","--","--","--","2026/02/13",""
"394808081","2026/01/26 08:45","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買","1","10","200","20","10000","2026/01/26","-10220","2026/01/27","--","--","--","--","--","2026/02/13",""
"394553841","2026/01/21 09:45","大阪/立会","225ＯＰ26年02月限コール57,000円","新規売","211","4","1688","168","844000","2026/01/21","842144","2026/01/22","--","--","--","--","--","2026/02/13",""
"394553279","2026/01/21 09:43","大阪/立会","225ＯＰ26年02月限コール56,000円","決済買","350","1","700","70","350000","2026/01/21","-350770","2026/01/22","2026/01/09","156","312","31","-195113","2026/02/13",""
"394553279","2026/01/21 09:43","大阪/立会","225ＯＰ26年02月限コール56,000円","決済買","350","1","700","70","350000","2026/01/21","-350770","2026/01/22","2026/01/13","191","382","38","-160190","2026/02/13",""
"394388897","2026/01/29 17:04","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買","1","7","0","0","7000","2026/01/30","-7000","2026/02/02","--","--","--","--","--","2026/02/13",""
"394388897","2026/01/29 09:37","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買","1","1","67","7","1000","2026/01/29","-1074","2026/01/30","--","--","--","--","--","2026/02/13",""
"394388897","2026/01/29 09:06","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買","1","2","133","13","2000","2026/01/29","-2146","2026/01/30","--","--","--","--","--","2026/02/13",""
"394109384","2026/01/20 13:59","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買","1","10","200","20","10000","2026/01/20","-10220","2026/01/21","--","--","--","--","--","2026/02/13",""
"394109374","2026/01/20 12:41","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買","1","10","200","20","10000","2026/01/20","-10220","2026/01/21","--","--","--","--","--","2026/02/13",""
"394109239","2026/01/19 08:47","大阪/立会","225ＯＰ26年02月限コール69,000円","新規買","1","10","200","20","10000","2026/01/19","-10220","2026/01/20","--","--","--","--","--","2026/02/13",""
"394066625","2026/01/20 23:00","大阪/立会","マイクロ225先物26年02月限","新規買","52000","1","10","1","520000","2026/01/21","--","2026/01/22","--","--","--","--","--","2026/02/13",""
"394066625","2026/01/20 23:00","大阪/立会","マイクロ225先物26年02月限","新規買","52000","9","90","9","4680000","2026/01/21","--","2026/01/22","--","--","--","--","--","2026/02/13",""
"394066471","2026/01/20 09:25","大阪/立会","マイクロ225先物26年02月限","新規買","53000","10","100","10","5300000","2026/01/20","--","2026/01/21","--","--","--","--","--","2026/02/13",""
"393901213","2026/01/14 18:05","大阪/立会","マイクロ225先物26年02月限","新規買","54430","1","10","1","544300","2026/01/15","--","2026/01/16","--","--","--","--","--","2026/02/13",""
"393901213","2026/01/14 18:05","大阪/立会","マイクロ225先物26年02月限","新規買","54430","2","20","2","1088600","2026/01/15","--","2026/01/16","--","--","--","--","--","2026/02/13",""
"393901213","2026/01/14 18:05","大阪/立会","マイクロ225先物26年02月限","新規買","54430","4","40","4","2177200","2026/01/15","--","2026/01/16","--","--","--","--","--","2026/02/13",""
"393901213","2026/01/14 18:05","大阪/立会","マイクロ225先物26年02月限","新規買","54430","3","30","3","1632900","2026/01/15","--","2026/01/16","--","--","--","--","--","2026/02/13",""
"393846603","2026/01/14 10:23","大阪/立会","マイクロ225先物26年02月限","新規買","54380","19","190","19","10332200","2026/01/14","--","2026/01/15","--","--","--","--","--","2026/02/13",""
"393715170","2026/01/14 21:00","大阪/立会","マイクロ225先物26年02月限","新規買","54000","10","100","10","5400000","2026/01/15","--","2026/01/16","--","--","--","--","--","2026/02/13",""
"393443195","2026/01/09 17:07","大阪/立会","225ＯＰ26年02月限コール56,000円","新規売","191","1","382","38","191000","2026/01/13","190580","2026/01/14","--","--","--","--","--","2026/02/13",""
"393434569","2026/01/09 16:00","大阪/立会","ミニ225ＯＰ26年01月限コール52,125円","新規売(消滅)","0","1","0","0","0","2026/01/09","0","--","2026/01/08","11","18","1","1081","2026/01/09",""
"393434228","2026/01/09 16:00","大阪/立会","225ＯＰ26年01月限コール52,000円","新規売(消滅)","0","1","0","0","0","2026/01/09","0","--","2026/01/08","14","200","20","13780","2026/01/09",""
"393433799","2026/01/09 16:00","大阪/立会","マイクロ225先物26年01月限","決済売(清算)","51525.2","1","10","1","515252","2026/01/09","25230","2026/01/13","2025/12/18","49000","10","1","25230","2026/01/09",""
"393433248","2026/01/09 16:00","大阪/立会","マイクロ225先物26年01月限","決済売(清算)","51525.2","9","90","9","4637268","2026/01/09","227070","2026/01/13","2025/12/18","49000","90","9","227070","2026/01/09",""
"393432668","2026/01/09 16:00","大阪/立会","マイクロ225先物26年01月限","決済売(清算)","51525.2","10","100","10","5152520","2026/01/09","202300","2026/01/13","2025/12/16","49500","100","10","202300","2026/01/09",""
"393431839","2026/01/09 16:00","大阪/立会","マイクロ225先物26年01月限","決済売(清算)","51525.2","9","90","9","4637268","2026/01/09","137070","2026/01/13","2025/12/16","50000","90","9","137070","2026/01/09",""
"393430793","2026/01/09 16:00","大阪/立会","マイクロ225先物26年01月限","決済売(清算)","51525.2","1","10","1","515252","2026/01/09","11730","2026/01/13","2025/12/12","50350","10","1","11730","2026/01/09",""
"393352321","2026/01/09 08:51","大阪/立会","225ＯＰ26年02月限コール56,000円","新規売","156","1","312","31","156000","2026/01/09","155657","2026/01/13","--","--","--","--","--","2026/02/13",""
"393292598","2026/01/08 15:45","大阪/立会","ミニ225ＯＰ26年01月限コール52,125円","新規売","11","1","18","1","1100","2026/01/08","1081","2026/01/09","--","--","--","--","--","2026/01/09",""
"393292502","2026/01/08 15:45","大阪/立会","225ＯＰ26年01月限コール52,000円","新規売","14","1","200","20","14000","2026/01/08","13780","2026/01/09","--","--","--","--","--","2026/01/09",""
"393291859","2026/01/08 15:39","大阪/立会","ミニ225ＯＰ26年01月限コール52,250円","決済買","9","14","25","2","12600","2026/01/08","-12627","2026/01/09","2026/01/08","35","98","9","36266","2026/01/09",""
"393291609","2026/01/08 15:38","大阪/立会","ミニ225ＯＰ26年01月限コール52,500円","決済買","4","1","18","1","400","2026/01/08","-419","2026/01/09","2026/01/08","30","18","1","2562","2026/01/09",""
"393251913","2026/01/08 11:50","大阪/立会","ミニ225ＯＰ26年01月限コール52,250円","新規売","35","14","98","9","49000","2026/01/08","48893","2026/01/09","--","--","--","--","--","2026/01/09",""
"393248760","2026/01/08 11:32","大阪/立会","ミニ225ＯＰ26年01月限コール52,500円","新規売","30","1","18","1","3000","2026/01/08","2981","2026/01/09","--","--","--","--","--","2026/01/09",""
"393245329","2026/01/08 11:07","大阪/立会","マイクロ225先物26年02月限","新規買","51795","1","10","1","517950","2026/01/08","--","2026/01/09","--","--","--","--","--","2026/02/13",""
"393226247","2026/01/08 09:23","大阪/立会","225ＯＰ26年01月限コール53,000円","決済買","9","2","200","20","18000","2026/01/08","-18220","2026/01/09","2026/01/08","33","200","20","47560","2026/01/09",""
"393200099","2026/01/08 00:21","大阪/立会","225ＯＰ26年01月限コール53,000円","新規売","33","2","200","20","66000","2026/01/08","65780","2026/01/09","--","--","--","--","--","2026/01/09",""
"393190266","2026/01/07 22:19","大阪/立会","225ＯＰ26年01月限コール53,500円","決済買","15","1","100","10","15000","2026/01/08","-15110","2026/01/09","2026/01/06","100","200","20","84670","2026/01/09",""
"393190266","2026/01/07 22:19","大阪/立会","225ＯＰ26年01月限コール53,500円","決済買","15","1","100","10","15000","2026/01/08","-15110","2026/01/09","2026/01/06","100","200","20","84670","2026/01/09",""
"392983050","2026/01/06 14:00","大阪/立会","225ＯＰ26年01月限コール53,500円","新規売","100","1","200","20","100000","2026/01/06","99780","2026/01/07","--","--","--","--","--","2026/01/09",""
"392983050","2026/01/06 14:00","大阪/立会","225ＯＰ26年01月限コール53,500円","新規売","100","1","200","20","100000","2026/01/06","99780","2026/01/07","--","--","--","--","--","2026/01/09",""
"392963743","2026/01/06 09:10","大阪/立会","225ＯＰ26年01月限コール53,000円","決済買","220","1","440","44","220000","2026/01/06","-220484","2026/01/07","2026/01/05","144.51","289","29","-76292","2026/01/09",""
"392963743","2026/01/06 09:10","大阪/立会","225ＯＰ26年01月限コール53,000円","決済買","220","1","440","44","220000","2026/01/06","-220484","2026/01/07","2026/01/05","144.51","289","28","-76291","2026/01/09",""
"392887354","2026/01/05 15:07","大阪/J-NET","225ＯＰ26年01月限コール53,000円","新規売","144.51","2","578","57","289020","2026/01/05","288385","2026/01/06","--","--","--","--","--","2026/01/09",""
"392886778","2026/01/05 15:05","大阪/立会","225ＯＰ26年01月限コール51,750円","決済買","680","1","1360","136","680000","2026/01/05","-681496","2026/01/06","2025/12/30","126","252","25","-555773","2026/01/09",""
"392886778","2026/01/05 15:05","大阪/立会","225ＯＰ26年01月限コール51,750円","決済買","680","1","1360","136","680000","2026/01/05","-681496","2026/01/06","2025/12/30","126","252","25","-555773","2026/01/09",""
